               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029806,           0.0053219,            0.042976,             0.31211,             0.57601,             0.40476,             0.31927,            0.021064,           0.0038996,            0.040793,            0.006535,            0.006535,            0.006535
                  37,            0.029385,           0.0052159,            0.041764,             0.33676,             0.57733,             0.41198,             0.32606,            0.020984,           0.0038878,            0.040363,            0.006436,            0.006436,            0.006436
                  38,            0.029325,           0.0051841,            0.041403,              0.3482,              0.5753,              0.4184,             0.33142,            0.020883,           0.0038771,            0.039898,            0.006337,            0.006337,            0.006337
                  39,            0.029526,           0.0052232,            0.041252,             0.36118,             0.57192,             0.42534,             0.33693,            0.020805,           0.0038697,            0.039446,            0.006238,            0.006238,            0.006238
                  40,            0.029345,           0.0052167,            0.040363,             0.36191,             0.56666,             0.43337,             0.34413,            0.020726,           0.0038558,            0.038969,            0.006139,            0.006139,            0.006139
                  41,            0.029049,           0.0051956,            0.039992,             0.37328,             0.55704,             0.44164,              0.3516,            0.020668,           0.0038425,             0.03852,             0.00604,             0.00604,             0.00604
                  42,            0.029056,           0.0051701,            0.039497,             0.37736,              0.5503,              0.4496,             0.35918,            0.020634,           0.0038304,            0.038088,            0.005941,            0.005941,            0.005941
                  43,            0.029288,           0.0052036,            0.038708,             0.38573,             0.54983,             0.45612,             0.36479,            0.020593,           0.0038257,            0.037669,            0.005842,            0.005842,            0.005842
                  44,            0.029182,           0.0051218,            0.037697,             0.39433,              0.5467,             0.46141,             0.36931,            0.020556,           0.0038168,            0.037276,            0.005743,            0.005743,            0.005743
                  45,            0.029483,           0.0051352,            0.037585,             0.40085,             0.54901,               0.467,              0.3745,            0.020507,           0.0038086,            0.036921,            0.005644,            0.005644,            0.005644
                  46,            0.029366,           0.0051003,            0.037929,             0.39983,             0.55164,             0.47182,             0.37892,            0.020454,           0.0038013,            0.036603,            0.005545,            0.005545,            0.005545
                  47,            0.029136,           0.0050853,            0.036233,             0.40739,             0.55297,             0.47627,             0.38264,            0.020421,           0.0037939,            0.036301,            0.005446,            0.005446,            0.005446
                  48,            0.028877,           0.0050811,            0.036318,             0.41388,             0.55523,             0.48146,             0.38746,            0.020385,           0.0037859,            0.036012,            0.005347,            0.005347,            0.005347
                  49,            0.029108,           0.0050518,            0.035695,             0.41763,              0.5551,             0.48581,             0.39157,            0.020358,           0.0037797,            0.035725,            0.005248,            0.005248,            0.005248
                  50,            0.028942,            0.005148,            0.035778,             0.42125,             0.55851,             0.48994,             0.39531,            0.020313,           0.0037731,            0.035451,            0.005149,            0.005149,            0.005149
                  51,            0.029259,            0.005108,            0.035127,             0.42284,             0.55555,             0.49342,             0.39814,             0.02028,           0.0037679,            0.035204,             0.00505,             0.00505,             0.00505
                  52,            0.028789,           0.0050485,            0.034259,             0.43027,             0.55565,             0.49755,             0.40168,            0.020252,           0.0037636,            0.034966,            0.004951,            0.004951,            0.004951
                  53,            0.028609,           0.0050014,            0.033851,             0.43538,             0.55563,             0.50158,             0.40488,            0.020229,           0.0037584,            0.034733,            0.004852,            0.004852,            0.004852
                  54,            0.028724,           0.0050192,            0.033269,              0.4413,             0.55652,             0.50532,             0.40798,             0.02021,           0.0037539,            0.034497,            0.004753,            0.004753,            0.004753
                  55,            0.028791,           0.0050639,             0.03306,              0.4454,             0.55528,             0.50884,              0.4109,            0.020199,           0.0037501,            0.034286,            0.004654,            0.004654,            0.004654
                  56,            0.028507,           0.0050124,            0.032391,              0.4489,             0.55721,             0.51224,             0.41414,            0.020182,           0.0037454,            0.034078,            0.004555,            0.004555,            0.004555
                  57,            0.028461,           0.0049537,            0.032377,              0.4544,             0.55821,             0.51596,             0.41766,            0.020158,           0.0037408,            0.033874,            0.004456,            0.004456,            0.004456
                  58,              0.0284,           0.0050251,            0.031759,             0.45792,             0.56266,             0.51947,             0.42093,            0.020143,            0.003737,            0.033687,            0.004357,            0.004357,            0.004357
